deferrable_fraction,response_reference_eur_per_kwh,payback_cap_fraction,ablation,seed,k,broker_count,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,row_provenance,run_wallclock_sec,peak_rss_mb
0.05,0.0125,0.25,capacity_disabled,20260708,1.0,3,607.0641428929583,0.17793196131215339,0.37539263064123995,"{""premium_green"": 0.19077886246440542, ""regulated_utility"": 0.4806915504939374, ""volatile_low_cost"": 0.3285295870416572}",0.6774904301528886,3.5114057752317063,20.39503973400148,0.7002279859953016,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1932751253530216,0.0,0.01,3,verification,503.1914913000073,129.32421875
0.05,0.0125,1.0,capacity_disabled,20260708,1.0,3,607.0641428929583,0.17793196131215339,0.37539263064123995,"{""premium_green"": 0.19077886246440542, ""regulated_utility"": 0.4806915504939374, ""volatile_low_cost"": 0.3285295870416572}",0.6774904301528886,3.5114057752317063,20.39503973400148,0.7002279859953016,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1932751253530216,0.0,0.01,3,verification,504.8715084999567,129.83984375
0.05,0.2,1.0,capacity_disabled,20260706,1.0,3,583.7623954741723,0.17191628290392683,0.35123049889991775,"{""premium_green"": 0.22848743108073685, ""regulated_utility"": 0.35922167745441136, ""volatile_low_cost"": 0.41229089146485176}",0.7047115999458832,3.5723093354039404,21.24090033995205,0.7659933606475976,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12253564025607666,0.0,0.015,3,verification,370.54639599996153,129.55859375
0.05,0.2,1.0,capacity_disabled,20260705,1.0,3,598.9136198239096,0.1687984581481566,0.37152306852410316,"{""premium_green"": 0.17462928306782366, ""regulated_utility"": 0.39838025736973437, ""volatile_low_cost"": 0.4269904595624419}",0.6778416958756219,3.5199534345696573,21.364038454972917,0.7294440095438219,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16824078432974554,0.0,0.0,3,verification,390.719662800082,129.55859375
0.05,0.2,1.0,capacity_disabled,20260704,1.0,3,607.2554362318879,0.17712060694557066,0.35215607781811664,"{""premium_green"": 0.2213554411957249, ""regulated_utility"": 0.3919842329526817, ""volatile_low_cost"": 0.3866603258515934}",0.6717422648172414,3.483237296521536,20.457377702948357,0.7262691241098145,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11375252783797118,0.0,0.0,3,verification,399.8985123001039,129.65234375
0.3,0.0125,0.25,capacity_disabled,20260706,1.0,3,583.7623954741723,0.17191628290392683,0.35123049889991775,"{""premium_green"": 0.22848743108073685, ""regulated_utility"": 0.35922167745441136, ""volatile_low_cost"": 0.41229089146485176}",0.7047115999458832,3.5723093354039404,21.24090033995205,0.7659933606475976,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12253564025607666,0.0,0.015,3,verification,370.0266670000274,129.90625
0.3,0.0125,0.25,capacity_disabled,20260705,1.0,3,598.9136198239096,0.1687984581481566,0.37152306852410316,"{""premium_green"": 0.17462928306782366, ""regulated_utility"": 0.39838025736973437, ""volatile_low_cost"": 0.4269904595624419}",0.6778416958756219,3.5199534345696573,21.364038454972917,0.7294440095438219,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16824078432974554,0.0,0.0,3,verification,389.9170966000529,129.7421875
0.05,0.2,1.0,capacity_disabled,20260707,1.0,3,601.7412592281264,0.1735060034586707,0.3461652362694507,"{""premium_green"": 0.24122115969588176, ""regulated_utility"": 0.37214634974672045, ""volatile_low_cost"": 0.38663249055739785}",0.6764025682341365,3.5026120560498755,20.72167114815019,0.7451034289897903,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.09694088724101091,0.0,0.01,3,verification,409.2662290999433,129.85546875
0.3,0.0125,0.25,capacity_disabled,20260704,1.0,3,607.2554362318879,0.17712060694557066,0.35215607781811664,"{""premium_green"": 0.2213554411957249, ""regulated_utility"": 0.3919842329526817, ""volatile_low_cost"": 0.3866603258515934}",0.6717422648172414,3.483237296521536,20.457377702948357,0.7262691241098145,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11375252783797118,0.0,0.0,3,verification,400.7313267000718,129.578125
0.3,0.0125,0.25,capacity_disabled,20260707,1.0,3,601.7412592281264,0.1735060034586707,0.3461652362694507,"{""premium_green"": 0.24122115969588176, ""regulated_utility"": 0.37214634974672045, ""volatile_low_cost"": 0.38663249055739785}",0.6764025682341365,3.5026120560498755,20.72167114815019,0.7451034289897903,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.09694088724101091,0.0,0.01,3,verification,404.35153109999374,129.71484375
